ds,yhat,yhat_lower,yhat_upper
2024-10-27,448.8492134327873,211.33056698366903,685.524960640677
2024-12-16,371.49474578632226,151.25976597528106,621.4345754328226
2025-01-07,483.8167594397173,249.38827116022932,726.3516129984354
2025-03-16,343.5114180474468,116.97247250840383,582.3384585763388
2025-03-23,338.24452827400626,100.26938518010544,578.0512291560399
2025-04-15,410.0803026503373,166.7481927541068,645.2433660543319
2025-05-04,306.6431896484225,51.032603903953024,548.806765557812
2025-06-08,280.3087407835816,34.99914531701368,525.0928842013884
2025-06-16,234.5556117330892,-15.957737500189655,481.2184688525528
2025-08-24,222.37295326562798,-13.541809376881227,454.03500514837606
2025-08-25,181.88671399098826,-63.40430139838211,426.46581258897317
2025-08-26,310.0093969525177,66.72045293308457,560.455529634685
2025-08-27,-341.67355693143537,-570.5710587492366,-101.90694567185811
2025-08-28,-342.42589546641483,-584.6023928374506,-103.07138588309203
2025-08-29,-343.1785114330283,-573.3309389652584,-110.42776208468507
2025-08-30,-343.9307308691232,-581.3821526635596,-110.51947932575133
2025-08-31,217.10606349121227,-20.66189220183606,449.9081604058171
2025-09-01,176.61982421669092,-71.14548425577489,427.1441400290536
2025-09-02,304.74250717744974,58.51146285760506,543.1452765485901
2025-09-03,-346.9404467057067,-588.1703268184726,-99.18243521918124
2025-09-04,-347.69278524082097,-588.0798405451551,-111.70198402399646
2025-09-05,-348.445401208141,-585.1340138663389,-129.7130398007027
2025-09-06,-349.1976206424514,-581.3281587532755,-107.00977997401979
2025-09-07,211.83917371738357,-18.641043945893824,450.9483763324844
2025-09-08,171.35293444255427,-74.75629627450377,404.67206770592026
2025-09-09,299.47561740481115,56.87945871816956,530.1600463510887
2025-09-10,-352.2073364799779,-603.4621295851757,-117.15957323276143
2025-09-11,-352.9596750142079,-594.745688540516,-106.54248193657654
2025-09-12,-353.7122909811191,-592.8857272663688,-94.48810955211101
2025-09-13,-354.4645104177347,-613.960892266537,-119.93741942664681
2025-09-14,206.57228394355502,-27.46120400288546,459.14112336927616
2025-09-15,166.0860446680843,-66.24343231477245,408.32350911173575
2025-09-16,294.20872763018525,61.780124284573006,534.194648744532
2025-09-17,-357.4742262551264,-605.7935988021275,-132.74164875700998
2025-09-18,-358.2265647887333,-596.0538344422173,-112.39107203261476
2025-09-19,-358.9791807562318,-605.5809534674656,-116.09233799195512
2025-09-20,-359.7314001919518,-599.2240222701029,-120.89429625410217
2025-09-21,201.30539416972633,-41.74765760125643,437.17717667092626
2025-09-22,160.81915489394783,-73.6375459128809,404.1032311006039
2025-09-23,288.9418378560017,58.446180048820594,541.2365443215635
