ds,yhat,yhat_lower,yhat_upper
2024-04-05,190.5364931746356,46.3120651758269,337.28028260275846
2024-04-07,209.0082526580094,62.56184852237182,352.1440338257071
2024-05-26,212.8464885638037,52.62127594018807,360.3222503566784
2024-06-12,224.99442698958003,67.35235137182245,390.69177570865475
2024-06-24,365.8967268045109,210.7590965220377,515.142776775451
2024-09-21,471.8664188089201,321.9797979753427,624.6491788126989
2024-10-24,161.9261939392975,5.79330976006544,311.4040367281343
2024-10-25,206.43775637818757,53.48184170550304,344.2855688433338
2024-10-29,110.86924330478479,-42.09693840984131,257.65418008943567
2024-11-04,376.3147958313395,232.78539852371907,527.8695987814597
2024-11-15,208.082714619024,49.02871693147033,361.34523148694063
2024-12-10,114.15915978144031,-33.6069062882959,271.11653948312835
2025-01-01,240.89569012067147,90.04847126662276,398.0302845714726
2025-01-06,381.2493318353955,240.23844964173972,543.434052110071
2025-03-16,235.870891451537,75.25224127944703,385.97255888302755
2025-06-29,244.08857011435694,97.09252267400146,394.02139103464447
2025-07-25,227.8083270870519,69.76658482461646,377.4616639802273
2025-07-26,495.97851888127025,353.3064162176586,646.7200505972256
2025-07-27,246.27995109095454,102.39614968053017,399.44119398909766
2025-07-28,397.13684391669847,239.31171626905916,552.0871413731688
2025-07-29,132.23954306762707,-3.671360113587199,288.52924395045574
2025-07-30,257.3310474452556,112.80918823796993,391.9765036405312
2025-07-31,183.8446776314887,29.19550866755624,342.9728616801827
2025-08-01,228.35617233197493,85.61532736226408,381.2376488381558
2025-08-02,496.52636412561617,338.17535897841964,655.1730909371361
2025-08-03,246.8277963352251,96.41604277924132,395.33383769968407
2025-08-04,397.68468916096765,255.47589456587184,558.296844375419
2025-08-05,132.78738831191268,-16.9633016414482,283.57970789237197
2025-08-06,257.8788926900371,104.01020866894314,407.85961476387115
2025-08-07,184.3925228749726,22.652650439624814,333.44131194602255
2025-08-08,228.9040175754866,80.47570422212499,379.4633840172452
2025-08-09,497.07420936996215,339.62791245445885,640.6698593405913
2025-08-10,247.3756415790643,81.72623884407479,387.1500420646462
2025-08-11,398.2325344048463,237.64070048970038,544.3730994025788
2025-08-12,133.33523355563062,-18.417288132018392,285.4810114523649
2025-08-13,258.42673793415725,106.64062408344417,416.78649083693875
2025-08-14,184.9403681184565,27.66918817502636,337.71833955671883
2025-08-15,229.45186282040967,77.9612135947643,382.7778198785472
2025-08-16,497.62205461408547,348.2956175100513,643.5860428515679
2025-08-17,247.92348682333477,95.68940634134987,397.8712769752096
2025-08-18,398.78037964911556,247.7729136447145,559.4338042038721
2025-08-19,133.88307880000573,-31.677908244808464,273.78230156368005
2025-08-20,258.9745831789388,107.2909395327885,410.76749270459055
2025-08-21,185.4882133637872,26.704581718413312,348.71197710119384
2025-08-22,229.99970806365977,90.7185583215785,376.0914208577711
2025-08-23,498.16989985843145,339.23086885029494,646.7349042030733
2025-08-24,248.47133206776778,113.83096406680183,397.57845346555507
